subgroup,n,accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,TP,FP,TN,FN
hand,242,0.7892561983471075,0.6082474226804123,0.8194444444444444,0.7764705882352941,0.6982248520710059,0.8725081699346405,59,38,132,13
leg,327,0.9357798165137615,0.7307692307692307,0.5757575757575758,0.9761904761904762,0.6440677966101694,0.8565244279529994,19,7,287,14
hip,51,0.8627450980392157,0.4,0.8,0.8695652173913043,0.5333333333333333,0.9173913043478261,4,6,40,1
shoulder,52,0.75,0.42105263157894735,0.8,0.7380952380952381,0.5517241379310345,0.8809523809523809,8,11,31,2
mixed,59,0.711864406779661,0.4074074074074074,0.9166666666666666,0.6595744680851063,0.5641025641025641,0.9290780141843973,11,16,31,1
hardware,8,1.0,1.0,1.0,,1.0,,8,0,0,0
multiscan,42,0.8809523809523809,0.7333333333333333,0.9166666666666666,0.8666666666666667,0.8148148148148148,0.9416666666666667,11,4,26,1
frontal,371,0.862533692722372,0.6329113924050633,0.6944444444444444,0.903010033444816,0.6622516556291391,0.8720271274619101,50,29,270,22
lateral,211,0.8720379146919431,0.6440677966101694,0.8636363636363636,0.874251497005988,0.7378640776699029,0.9322264561785519,38,21,146,6
oblique,65,0.9076923076923077,0.5714285714285714,0.5714285714285714,0.9482758620689655,0.5714285714285714,0.768472906403941,4,3,55,3
