model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
resnet50,ResNet50,0.01,0.27941176470588236,0.19413919413919414,0.9906542056074766,0.12871287128712872,0.32465543644716693,0.8727491440732859,106,440,65,1
resnet50,ResNet50,0.02,0.34477124183006536,0.20948616600790515,0.9906542056074766,0.2079207920792079,0.3458401305057096,0.8727491440732859,106,400,105,1
resnet50,ResNet50,0.03,0.39869281045751637,0.22410147991543342,0.9906542056074766,0.2732673267326733,0.36551724137931035,0.8727491440732859,106,367,138,1
resnet50,ResNet50,0.04,0.4395424836601307,0.2330316742081448,0.9626168224299065,0.3287128712871287,0.37522768670309653,0.8727491440732859,103,339,166,4
resnet50,ResNet50,0.05,0.45588235294117646,0.23842592592592593,0.9626168224299065,0.3485148514851485,0.3821892393320965,0.8727491440732859,103,329,176,4
resnet50,ResNet50,0.06,0.4738562091503268,0.24465558194774348,0.9626168224299065,0.3702970297029703,0.39015151515151514,0.8727491440732859,103,318,187,4
resnet50,ResNet50,0.07,0.4852941176470588,0.24757281553398058,0.9532710280373832,0.38613861386138615,0.3930635838150289,0.8727491440732859,102,310,195,5
resnet50,ResNet50,0.08,0.4918300653594771,0.24876847290640394,0.9439252336448598,0.39603960396039606,0.3937621832358674,0.8727491440732859,101,305,200,6
resnet50,ResNet50,0.09,0.5016339869281046,0.2525,0.9439252336448598,0.4079207920792079,0.398422090729783,0.8727491440732859,101,299,206,6
resnet50,ResNet50,0.1,0.5212418300653595,0.2603092783505155,0.9439252336448598,0.4316831683168317,0.4080808080808081,0.8727491440732859,101,287,218,6
resnet50,ResNet50,0.11,0.5375816993464052,0.2671957671957672,0.9439252336448598,0.4514851485148515,0.41649484536082476,0.8727491440732859,101,277,228,6
resnet50,ResNet50,0.12,0.5441176470588235,0.2700534759358289,0.9439252336448598,0.4594059405940594,0.41995841995842,0.8727491440732859,101,273,232,6
resnet50,ResNet50,0.13,0.5473856209150327,0.2702702702702703,0.9345794392523364,0.46534653465346537,0.4192872117400419,0.8727491440732859,100,270,235,7
resnet50,ResNet50,0.14,0.5571895424836601,0.27348066298342544,0.9252336448598131,0.4792079207920792,0.42217484008528783,0.8727491440732859,99,263,242,8
resnet50,ResNet50,0.15,0.5686274509803921,0.27887323943661974,0.9252336448598131,0.49306930693069306,0.42857142857142855,0.8727491440732859,99,256,249,8
resnet50,ResNet50,0.16,0.5800653594771242,0.2832369942196532,0.9158878504672897,0.5089108910891089,0.4326710816777042,0.8727491440732859,98,248,257,9
resnet50,ResNet50,0.17,0.5898692810457516,0.28823529411764703,0.9158878504672897,0.5207920792079208,0.43847874720357943,0.8727491440732859,98,242,263,9
resnet50,ResNet50,0.18,0.6013071895424836,0.29429429429429427,0.9158878504672897,0.5346534653465347,0.44545454545454544,0.8727491440732859,98,235,270,9
resnet50,ResNet50,0.19,0.6094771241830066,0.29754601226993865,0.9065420560747663,0.5465346534653466,0.44803695150115475,0.8727491440732859,97,229,276,10
resnet50,ResNet50,0.2,0.6241830065359477,0.3022508038585209,0.8785046728971962,0.5702970297029702,0.44976076555023925,0.8727491440732859,94,217,288,13
