model_name,display_name,threshold_rule,threshold,selection_note,accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,TP,FP,TN,FN,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc
resnet50,ResNet50,fixed_0_50,0.5,,0.8580750407830342,0.5734265734265734,0.7592592592592593,0.8792079207920792,0.6533864541832669,0.8914741474147415,82,61,444,26,0.8513071895424836,0.5579710144927537,0.719626168224299,0.8792079207920792,0.6285714285714286,0.8727491440732859
resnet50,ResNet50,max_val_f1,0.57,,0.8776508972267537,0.632,0.7314814814814815,0.9089108910891089,0.6781115879828327,0.8914741474147415,79,46,459,29,0.8839869281045751,0.6636363636363637,0.6822429906542056,0.9267326732673268,0.6728110599078341,0.8727491440732859
resnet50,ResNet50,max_youden_j,0.54,,0.8743882544861338,0.6201550387596899,0.7407407407407407,0.902970297029703,0.6751054852320675,0.8914741474147415,80,49,456,28,0.8741830065359477,0.6229508196721312,0.7102803738317757,0.9089108910891089,0.6637554585152838,0.8727491440732859
resnet50,ResNet50,high_sensitivity_precision_constrained,0.19,,0.601957585644372,0.2964071856287425,0.9166666666666666,0.5346534653465347,0.4479638009049774,0.8914741474147415,99,235,270,9,0.6094771241830066,0.29754601226993865,0.9065420560747663,0.5465346534653466,0.44803695150115475,0.8727491440732859
mobilenetv2,MobileNetV2,fixed_0_50,0.5,,0.8531810766721044,0.5661764705882353,0.7129629629629629,0.8831683168316832,0.6311475409836066,0.8708470847084708,77,59,446,31,0.8398692810457516,0.5343511450381679,0.6542056074766355,0.8792079207920792,0.5882352941176471,0.8654205607476634
mobilenetv2,MobileNetV2,max_val_f1,0.69,,0.8858075040783034,0.7261904761904762,0.5648148148148148,0.9544554455445544,0.6354166666666666,0.8708470847084708,61,23,482,47,0.8774509803921569,0.686046511627907,0.5514018691588785,0.9465346534653465,0.6113989637305699,0.8654205607476634
mobilenetv2,MobileNetV2,max_youden_j,0.35,,0.8042414355628059,0.46629213483146065,0.7685185185185185,0.8118811881188119,0.5804195804195804,0.8708470847084708,83,95,410,25,0.8055555555555556,0.46629213483146065,0.7757009345794392,0.8118811881188119,0.5824561403508772,0.8654205607476634
mobilenetv2,MobileNetV2,high_sensitivity_precision_constrained,0.13,,0.6247960848287113,0.309375,0.9166666666666666,0.5623762376237624,0.46261682242990654,0.8708470847084708,99,221,284,9,0.6519607843137255,0.3233333333333333,0.9065420560747663,0.598019801980198,0.47665847665847666,0.8654205607476634
densenet121,DenseNet121,fixed_0_50,0.5,,0.8450244698205547,0.552,0.6388888888888888,0.8891089108910891,0.592274678111588,0.8558122478914558,69,56,449,39,0.8562091503267973,0.5714285714285714,0.7102803738317757,0.8871287128712871,0.6333333333333333,0.8649208846118256
densenet121,DenseNet121,max_val_f1,0.61,,0.8760195758564437,0.6702127659574468,0.5833333333333334,0.9386138613861386,0.6237623762376238,0.8558122478914558,63,31,474,45,0.8774509803921569,0.6538461538461539,0.6355140186915887,0.9287128712871288,0.6445497630331753,0.8649208846118256
densenet121,DenseNet121,max_youden_j,0.35,,0.7569331158238173,0.4028436018957346,0.7870370370370371,0.7504950495049505,0.5329153605015674,0.8558122478914558,85,126,379,23,0.7892156862745098,0.445,0.8317757009345794,0.7801980198019802,0.5798045602605864,0.8649208846118256
densenet121,DenseNet121,high_sensitivity_precision_constrained,0.14,,0.49592169657422513,0.24812030075187969,0.9166666666666666,0.40594059405940597,0.3905325443786982,0.8558122478914558,99,300,205,9,0.5277777777777778,0.2579787234042553,0.9065420560747663,0.44752475247524753,0.40165631469979296,0.8649208846118256
custom_cnn,Custom CNN,fixed_0_50,0.5,,0.7765089722675367,0.40268456375838924,0.5555555555555556,0.8237623762376237,0.4669260700389105,0.7612944627796113,60,89,416,48,0.7516339869281046,0.36024844720496896,0.5420560747663551,0.7960396039603961,0.43283582089552236,0.7128712871287128
custom_cnn,Custom CNN,max_val_f1,0.5,,0.7765089722675367,0.40268456375838924,0.5555555555555556,0.8237623762376237,0.4669260700389105,0.7612944627796113,60,89,416,48,0.7516339869281046,0.36024844720496896,0.5420560747663551,0.7960396039603961,0.43283582089552236,0.7128712871287128
custom_cnn,Custom CNN,max_youden_j,0.45,,0.7145187601957586,0.3397129186602871,0.6574074074074074,0.7267326732673267,0.4479495268138801,0.7612944627796113,71,138,367,37,0.7140522875816994,0.3282828282828283,0.6074766355140186,0.7366336633663366,0.4262295081967213,0.7128712871287128
custom_cnn,Custom CNN,high_sensitivity_precision_constrained,0.2,,0.3278955954323002,0.2019607843137255,0.9537037037037037,0.19405940594059407,0.3333333333333333,0.7612944627796113,103,407,98,5,0.32516339869281047,0.194,0.9065420560747663,0.201980198019802,0.31960461285008235,0.7128712871287128
